Total Production,Vinnytsia,Volyn,Dnipropetrovsk,Donetsk,Zhytomyr,Transcarpathian,Zaporizhzhia,Ivano-Frankivsk,Kyiv,Kirovohrad,Luhansk,Lviv,Mykolaiv,Odessa,Poltava,Rivne,Sumy,Ternopil,Kharkiv,Kherson,Khmelnytskyi,Cherkasy,Chernivtsi,Chernihiv
50000000,274.09000013248004,614.135464578645,232.978000123648,232.978000123648,614.1981847863709,274.09000013248004,256.4836698528133,525.3044215789112,434.8953858578462,274.09000013248004,327.4643540539567,451.94561661592985,232.978000123648,232.978000123648,274.09000013248004,662.2317903549086,432.0416705963467,420.3136509103441,308.35000006624006,232.978000123648,353.864746794476,286.92041088686767,506.49939506319026,576.5626485480251
51000000,274.09,651.8237155247059,232.978,232.978,614.1981808,274.09,256.48366880000003,527.3456377317648,435.91482009411766,274.09,327.464352,452.8477099388235,232.978,232.978,274.09,662.2317856000001,432.0416692,413.51336056,308.35,232.978,353.864746,287.5251193411765,506.4993928,577.3930405741177
52000000,274.0899998726154,688.0624219837181,232.97799988110768,232.97799988110768,614.1981769669511,274.0899998726154,256.4836677876795,529.3083437910489,436.8950452905377,274.0899998726154,327.4643500250417,453.71510733745987,232.97799988110768,232.97799988110768,274.0899998726154,662.2317810279725,432.041667857359,406.97462019483226,308.3499999363077,232.97799988110768,353.8647452360808,288.10656975976326,506.49939062385556,578.1914944203013
53000000,274.0900001249812,722.9336401878784,232.97800011664907,232.97800011664907,614.1981845607273,274.0900001249812,256.48366979322014,526.955614535312,437.83828504238926,274.0900001249812,327.464353937695,454.54977678641166,232.97800011664907,232.97800011664907,274.0900001249812,662.2317900857628,432.04167051730826,404.9668031821637,308.35000006249055,232.97800011664907,353.8647467495056,288.66607973094193,506.4993949350852,578.9598381984719
54000000,286.8696568266667,749.5091128,232.978,232.978,604.2251354666666,274.09,256.4836688,527.8830799644445,438.7465858666667,274.09,327.464352,455.35352858666664,232.978,232.978,274.09,662.2317856,432.0416692,404.9668016,308.35,232.978,353.864746,289.20486604444443,506.49939279999995,579.6997048977778
55000000,304.2721848849137,748.7761165697476,232.97799988759272,232.97799988759272,614.1981771760264,274.08999987956366,256.48366784289703,530.809998814272,439.6218575441185,274.08999987956366,327.4643501327667,456.12805302577374,232.97799988759272,232.97799988759272,274.08999987956366,662.2317812773558,432.041667930594,404.96680007536963,308.3499999397818,232.97799988759272,353.86474527774914,289.7240601129763,506.4993907425543,580.4126670885695
56000000,329.2490785810576,749.5091182922731,232.97800011040005,232.97800011040005,614.1981843592597,274.0900001182858,256.48366974001186,533.6323837791599,440.46587359551256,274.0900001182858,327.46435383388996,456.8749197917846,232.97800011040005,232.97800011040005,274.0900001182858,662.2317898454543,432.0416704467382,404.96680309740486,308.35000005914287,232.97800011040005,353.86474670935354,290.2247126247648,506.4993948207057,581.1001863364053
57000000,354.05849324210527,749.5091128,232.978,232.978,614.1981808,274.09,256.4836688,536.355738703158,441.280271031579,274.09,327.464352,457.5955768505263,232.978,232.978,274.09,662.2317856,432.0416692,404.9668016,308.35,232.978,353.864746,290.70779730526317,506.49939280000007,581.7635624505264
58000000,378.01241283817063,749.5091074971157,232.97799989340686,232.97799989340686,614.1981773634733,274.08999988579313,256.48366789240237,538.9851846250932,442.06658577535745,274.08999988579313,327.46435022934776,458.29138364632576,232.97799989340686,232.97799989340686,274.75672113924713,662.2317815009409,432.0416679962529,404.9668001542298,308.34999994289655,232.97799989340686,353.864745315107,291.1742238802339,506.49939084897386,581.8999231292424
59000000,399.25800701027805,749.509118013005,232.97800010478647,232.97800010478647,614.1981841782805,274.09000011227124,256.4836696922147,541.1844179695986,442.8262497497797,274.09000011227124,327.4643537406413,458.9636075730659,232.97800010478647,232.97800010478647,275.57506757183637,664.1335213196244,432.0416703833447,405.3113269379337,308.3500000561356,232.97800010478647,353.8647466732847,291.62484047638867,506.4993947179579,581.8999296153211
